NDC Number,Date Introduced to Market,Manufacturer Name,Drug Product Description
68418794206,2019-04-26,Biocodex USA,Stiripentol Oral Packet 500 MG
42794005108,2019-04-29,"Sigmapharm Laboratories, LLC",Ambrisentan 5 mg tab 30ct
42794005208,2019-04-29,"Sigmapharm Laboratories, LLC",Ambrisentan 10 mg tab 30ct
74204202,2019-04-29,AbbVie,"SKYRIZI (risankizuman-rzaa) 150mg (carton containing two 75mg/0.83mL single-dose, pre-filled syringes)"
49884035362,2019-04-29,Par Pharmaceutical,Ambrisentan Oral Tablet 5 MG  10s
49884035311,2019-04-29,Par Pharmaceutical,Ambrisentan Oral Tablet 5 MG  30s
49884035462,2019-04-29,Par Pharmaceutical,Ambrisentan Oral Tablet 10 MG   10s
49884035411,2019-04-29,Par Pharmaceutical,Ambrisentan Oral Tablet 10 MG  30s
591240530,2019-04-30,Teva Pharmaceuticals USA,AMBRISENTAN 5MG FC TABLETS 30
591240630,2019-04-30,Teva Pharmaceuticals USA,AMBRISENTAN 10MG FC TABLETS 30
69197540,2019-05-06,Pfizer,VYNDAQEL® (tafamidis meglumine) 20MG CAP 4X30 BLST US
43598041311,2019-05-06,"Dr. Reddy's Laboratories, Inc.",Daptomycin 500mg Powder for Injection
63304073510,2019-05-07,SUN PHARMACEUTICALS,Esomeprazole 40mg DR Cap 1000ct
378427093,2019-05-07,Mylan Pharmaceuticals Inc,"Ambrisentan Tablets, 5mg, 30s"
378427193,2019-05-07,Mylan Pharmaceuticals Inc,"Ambrisentan Tablets, 10mg, 30s"
93766356,2019-05-09,Teva Pharmaceuticals USA,ERLOTINIB HCL TABLETS EQ 100MG 30
93766456,2019-05-09,Teva Pharmaceuticals USA,ERLOTINIB HCL TABLETS EQ 150MG 30
378713193,2019-05-09,Mylan Pharmaceuticals Inc,"Erlotinib Hydrochloride Tablets, 25mg, 30s"
378713293,2019-05-09,Mylan Pharmaceuticals Inc,"Erlotinib Hydrochloride Tablets, 100mg, 30s"
378713393,2019-05-09,Mylan Pharmaceuticals Inc,"Erlotinib Hydrochloride Tablets, 150mg, 30s"
44087353501,2019-05-14,"EMD Serono, Inc.",Bavencio (avelumab) Injection
63304073410,2019-05-15,SUN PHARMACEUTICALS,Esomeprazole 20mg DR Cap  1000ct
378619793,2019-05-23,Mylan Pharmaceuticals Inc,"Cinacalcet Hydrochloride Tablets, 30mg, 30s"
378619693,2019-05-23,Mylan Pharmaceuticals Inc,"Cinacalcet Hydrochloride Tablets, 60mg, 30s"
378619593,2019-05-23,Mylan Pharmaceuticals Inc,"Cinacalcet Hydrochloride Tablets, 90mg, 30s"
78070802,2019-05-24,Novartis,Piqray 300 mg /56 tablets (150mg tabs)
78071502,2019-05-24,Novartis,Piqray 250 mg / 56 tablets (28 of the 200 mg tabs & 28 of the 50 mg tabs)
78070184,2019-05-24,Novartis,Piqray 200 mg / 28 tablets (28 of the 200mg tabs)
7189412002,2019-05-24,AveXis,Zolgensma® (onasemnogene abeparvovec-xioi)  is a one-time gene-therapy intravenous (IV) infusion. This NDC is for patients with a patient weight of 2.6 – 3.0kg
7189412103,2019-05-24,AveXis,Zolgensma® (onasemnogene abeparvovec-xioi)  is a one-time gene-therapy intravenous (IV) infusion. This NDC is for patients with a weight of 3.1 – 3.5kg
7189412203,2019-05-24,AveXis,Zolgensma® (onasemnogene abeparvovec-xioi)  is a one-time gene-therapy intravenous (IV) infusion.  This NDC is for patients with a weight of 3.6 – 4.0kg
7189412303,2019-05-24,AveXis,Zolgensma® (onasemnogene abeparvovec-xioi)  is a one-time gene-therapy intravenous (IV) infusion.  This NDC is for patients with a weight of 4.1 – 4.5kg
7189412404,2019-05-24,AveXis,Zolgensma® (onasemnogene abeparvovec-xioi)  is a one-time gene-therapy intravenous (IV) infusion.  This NDC is for patients with a weight of 4.6 – 5.0kg
7189412504,2019-05-24,AveXis,Zolgensma® (onasemnogene abeparvovec-xioi)  is a one-time gene-therapy intravenous (IV) infusion.  This NDC is for patients with a weight of 5.1 – 5.5kg
7189412604,2019-05-24,AveXis,Zolgensma® (onasemnogene abeparvovec-xioi)  is a one-time gene-therapy intravenous (IV) infusion.  This NDC is for patients with a weight of 5.6 – 6.0kg
7189412705,2019-05-24,AveXis,Zolgensma® (onasemnogene abeparvovec-xioi)  is a one-time gene-therapy intravenous (IV) infusion.  This NDC is for patients with a weight of 6.1 – 6.5kg
7189412805,2019-05-24,AveXis,Zolgensma® (onasemnogene abeparvovec-xioi)  is a one-time gene-therapy intravenous (IV) infusion.  This NDC is for patients with a weight of 6.6 – 7.0kg
7189412905,2019-05-24,AveXis,Zolgensma® (onasemnogene abeparvovec-xioi)  is a one-time gene-therapy intravenous (IV) infusion. This NDC is for patients with a weight of 7.1 – 7.5kg
7189413006,2019-05-24,AveXis,Zolgensma® (onasemnogene abeparvovec-xioi)  is a one-time gene-therapy intravenous (IV) infusion. This NDC is for patients with a weight of 7.6 – 8.0kg
7189413106,2019-05-24,AveXis,Zolgensma® (onasemnogene abeparvovec-xioi)  is a one-time gene-therapy intravenous (IV) infusion.  This NDC is for patients with a weight of 8.1 – 8.5kg
7189413206,2019-05-24,AveXis,Zolgensma® (onasemnogene abeparvovec-xioi)  is a one-time gene-therapy intravenous (IV) infusion.  This NDC is for patients with a weight of 8.6 – 9.0kg
7189413307,2019-05-24,AveXis,Zolgensma® (onasemnogene abeparvovec-xioi)  is a one-time gene-therapy intravenous (IV) infusion. This NDC is for patients with a weight of 9.1 – 9.5kg
7189413407,2019-05-24,AveXis,Zolgensma® (onasemnogene abeparvovec-xioi)  is a one-time gene-therapy intravenous (IV) infusion.  This NDC is for patients with a weight of 9.6 – 10.0kg
7189413507,2019-05-24,AveXis,Zolgensma® (onasemnogene abeparvovec-xioi)  is a one-time gene-therapy intravenous (IV) infusion. This NDC is for patients with a weight of 10.1 – 10.5kg
7189413608,2019-05-24,AveXis,Zolgensma® (onasemnogene abeparvovec-xioi)  is a one-time gene-therapy intravenous (IV) infusion.  This NDC is for patients with a weight of 10.6 – 11.0kg
7189413708,2019-05-24,AveXis,Zolgensma® (onasemnogene abeparvovec-xioi)  is a one-time gene-therapy intravenous (IV) infusion. This NDC is for patients with a weight of 11.1 – 11.5kg
7189413808,2019-05-24,AveXis,Zolgensma® (onasemnogene abeparvovec-xioi)  is a one-time gene-therapy intravenous (IV) infusion. This NDC is for patients with a weight of 11.6 – 12.0kg
7189413909,2019-05-24,AveXis,Zolgensma® (onasemnogene abeparvovec-xioi)  is a one-time gene-therapy intravenous (IV) infusion. This NDC is for patients with a weight of 12.1 – 12.5kg
7189414009,2019-05-24,AveXis,Zolgensma® (onasemnogene abeparvovec-xioi)  is a one-time gene-therapy intravenous (IV) infusion.  This NDC is for patients with a weight of 12.6 – 13.0kg
7189414109,2019-05-24,AveXis,Zolgensma® (onasemnogene abeparvovec-xioi)  is a one-time gene-therapy intravenous (IV) infusion.  This NDC is for patients with a weight of 13.1 – 13.5kg
45963041850,2019-05-28,Teva Pharmaceuticals USA,RANOLAZINE 500MG ER TABLETS 500
45963041950,2019-05-28,Teva Pharmaceuticals USA,RANOLAZINE 1000MG ER TABLETS 500
781307912,2019-05-29,Sandoz Inc.,FULVESTRANT 250MG/5ML 2LISY
42292005105,2019-05-29,Mylan Institutional Inc,"Erlotinib Hydrochloride Tablets, 25mg, Unit Dose, 20s"
42292005205,2019-05-29,Mylan Institutional Inc,"Erlotinib Hydrochloride Tablets, 100mg, Unit Dose, 20s"
42292005305,2019-05-29,Mylan Institutional Inc,"Erlotinib Hydrochloride Tablets, 150mg, Unit Dose, 20s"
70710120301,2019-05-29,Zydus Pharmaceuticals (USA) Inc.,Trientine HCl 250mg Capsules
68382044614,2019-06-03,Zydus Pharmaceuticals (USA) Inc.,Bosentan 62.5mg Tablet
68382044714,2019-06-03,Zydus Pharmaceuticals (USA) Inc.,Bosentan 125mg Tablet
187065301,2019-06-03,"Valeant Pharmaceuticals North America, LLC",Duobrii External Lotion 0.01-0.045 %
49884005802,2019-06-03,Par Pharmaceutical,Bosentan Tablets 62.5mg  60s
49884005902,2019-06-03,Par Pharmaceutical,Bosentan Tablets 125mg  60s
71258001502,2019-06-03,"Progenics Pharmaceuticals, Inc.",AZEDRA (iobenguane I 131) injection
71258001522,2019-06-03,"Progenics Pharmaceuticals, Inc.",AZEDRA (iobenguane I 131) injection
50242010501,2019-06-10,Genentech USA,Polivy 140mg Vial
47335003886,2019-06-14,SUN PHARMACEUTICALS,Bosentan Tablets 62.5mg 60ct
47335003986,2019-06-14,SUN PHARMACEUTICALS,Bosentan Tablets 125mg 60ct
173089201,2019-06-17,GlaxoSmithKline,NUCALA INJ 100 MG/ML
173089242,2019-06-17,GlaxoSmithKline,NUCALA INJ 100 MG/ML
67877050330,2019-06-17,"Ascend Laboratories, LLC",Cinacalcet 30mg 30 Tabs
67877050430,2019-06-17,"Ascend Laboratories, LLC",Cinacalcet 60mg 30 Tabs
67877050530,2019-06-17,"Ascend Laboratories, LLC",Cinacalcet 90mg 30 Tabs
51862063428,2019-06-19,Mayne Pharma Inc,Fentanyl Buccal 100mcg Tabs 28
51862063528,2019-06-19,Mayne Pharma Inc,Fentanyl Buccal 200mcg Tabs 28
51862063628,2019-06-19,Mayne Pharma Inc,Fentanyl Buccal 400mcg Tabs 28
51862063728,2019-06-19,Mayne Pharma Inc,Fentanyl Buccal 600mcg Tabs 28
51862063828,2019-06-19,Mayne Pharma Inc,Fentanyl Buccal 800mcg Tabs 28
591251160,2019-06-20,Teva Pharmaceuticals USA,BOSENTAN 62.5MG FC TABLETS 60
591251260,2019-06-20,Teva Pharmaceuticals USA,BOSENTAN 125MG FC TABLETS 60
72152054720,2019-06-20,"Sage Therapeutics, Inc.",ZULRESSO (brexanolone) injection CIV
591417101,2019-06-24,Teva Pharmaceuticals USA,PENCILLAMINE 250MG CAPSULES 100
